"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"21.04.2019","1,1149","1,1245","1,1264","1,1111","-0,88%"
"14.04.2019","1,1248","1,1300","1,1326","1,1226","-0,48%"
"07.04.2019","1,1302","1,1219","1,1327","1,1214","0,77%"
"31.03.2019","1,1216","1,1218","1,1257","1,1183","-0,02%"
"24.03.2019","1,1218","1,1293","1,1333","1,1208","-0,85%"
"17.03.2019","1,1314","1,1323","1,1449","1,1272","-0,10%"
"10.03.2019","1,1325","1,1239","1,1345","1,1220","0,76%"
"03.03.2019","1,1240","1,1380","1,1398","1,1177","-1,20%"
"24.02.2019","1,1377","1,1340","1,1422","1,1324","0,30%"
"17.02.2019","1,1343","1,1288","1,1375","1,1276","0,42%"
"10.02.2019","1,1295","1,1329","1,1346","1,1233","-0,31%"
"03.02.2019","1,1330","1,1457","1,1467","1,1320","-1,10%"
"27.01.2019","1,1456","1,1406","1,1517","1,1390","0,36%"
"20.01.2019","1,1415","1,1372","1,1421","1,1288","0,46%"
"13.01.2019","1,1363","1,1471","1,1493","1,1352","-0,92%"
"06.01.2019","1,1469","1,1392","1,1572","1,1392","0,65%"
"30.12.2018","1,1395","1,1444","1,1499","1,1309","-0,38%"
"23.12.2018","1,1438","1,1372","1,1478","1,1342","0,61%"
"16.12.2018","1,1369","1,1309","1,1487","1,1299","0,53%"
"09.12.2018","1,1309","1,1402","1,1445","1,1268","-0,61%"
"02.12.2018","1,1378","1,1315","1,1425","1,1311","0,54%"
"25.11.2018","1,1317","1,1343","1,1403","1,1266","-0,21%"
"18.11.2018","1,1341","1,1402","1,1474","1,1325","-0,69%"
"11.11.2018","1,1420","1,1332","1,1423","1,1215","0,74%"
"04.11.2018","1,1336","1,1392","1,1502","1,1315","-0,45%"
"28.10.2018","1,1387","1,1408","1,1458","1,1301","-0,14%"
"21.10.2018","1,1403","1,1507","1,1552","1,1334","-0,97%"
"14.10.2018","1,1515","1,1559","1,1623","1,1433","-0,42%"
"07.10.2018","1,1563","1,1519","1,1611","1,1430","0,34%"
"30.09.2018","1,1524","1,1608","1,1629","1,1463","-0,73%"
"23.09.2018","1,1609","1,1750","1,1816","1,1567","-1,20%"
"16.09.2018","1,1750","1,1624","1,1804","1,1617","1,03%"
"09.09.2018","1,1630","1,1561","1,1724","1,1526","0,67%"
"02.09.2018","1,1553","1,1597","1,1661","1,1529","-0,41%"
"26.08.2018","1,1601","1,1632","1,1735","1,1585","-0,19%"
"19.08.2018","1,1623","1,1442","1,1641","1,1394","1,61%"
"12.08.2018","1,1439","1,1390","1,1447","1,1299","0,25%"
"05.08.2018","1,1411","1,1572","1,1629","1,1384","-1,35%"
"29.07.2018","1,1567","1,1659","1,1745","1,1559","-0,78%"
"22.07.2018","1,1658","1,1729","1,1751","1,1621","-0,53%"
"15.07.2018","1,1720","1,1677","1,1746","1,1574","0,30%"
"08.07.2018","1,1685","1,1746","1,1790","1,1610","-0,53%"
"01.07.2018","1,1747","1,1652","1,1769","1,1591","0,53%"
"24.06.2018","1,1685","1,1659","1,1722","1,1527","0,24%"
"17.06.2018","1,1657","1,1610","1,1677","1,1509","0,41%"
"10.06.2018","1,1609","1,1766","1,1853","1,1543","-1,35%"
"03.06.2018","1,1768","1,1657","1,1842","1,1653","0,92%"
"27.05.2018","1,1661","1,1650","1,1728","1,1506","0,08%"
"20.05.2018","1,1652","1,1764","1,1831","1,1645","-1,07%"
"13.05.2018","1,1778","1,1947","1,1999","1,1749","-1,39%"
"06.05.2018","1,1944","1,1953","1,1980","1,1823","-0,13%"
"29.04.2018","1,1960","1,2125","1,2141","1,1911","-1,40%"
"22.04.2018","1,2130","1,2289","1,2292","1,2055","-1,29%"
"15.04.2018","1,2288","1,2331","1,2415","1,2250","-0,35%"
"08.04.2018","1,2331","1,2279","1,2397","1,2261","0,39%"
"01.04.2018","1,2283","1,2323","1,2346","1,2214","-0,32%"
"25.03.2018","1,2323","1,2349","1,2477","1,2283","-0,24%"
"18.03.2018","1,2353","1,2284","1,2390","1,2239","0,52%"
"11.03.2018","1,2289","1,2311","1,2414","1,2261","-0,15%"
"04.03.2018","1,2307","1,2324","1,2448","1,2269","-0,08%"
"25.02.2018","1,2317","1,2297","1,2354","1,2153","0,20%"
"18.02.2018","1,2293","1,2409","1,2435","1,2259","-0,91%"
"11.02.2018","1,2406","1,2254","1,2557","1,2235","1,40%"
"04.02.2018","1,2235","1,2457","1,2477","1,2206","-1,82%"
"28.01.2018","1,2462","1,2427","1,2524","1,2334","0,33%"
"21.01.2018","1,2421","1,2268","1,2538","1,2214","1,63%"
"14.01.2018","1,2222","1,2197","1,2324","1,2165","0,29%"
"07.01.2018","1,2187","1,2029","1,2190","1,1916","1,31%"
"31.12.2017","1,2030","1,2003","1,2091","1,1995","0,27%"
"24.12.2017","1,1998","1,1851","1,2030","1,1843","1,17%"
"17.12.2017","1,1859","1,1755","1,1903","1,1738","0,89%"
"10.12.2017","1,1754","1,1769","1,1864","1,1718","-0,08%"
"03.12.2017","1,1764","1,1881","1,1888","1,1728","-1,07%"
