Data,usdChange
17-01-03,21.3
17-01-10,21.000000000000004
17-01-17,23.1
17-01-24,23.900000000000002
17-01-31,24.0
17-02-07,31.500000000000004
17-02-14,31.6
17-02-21,33.9
17-02-28,33.0
17-03-07,28.1
17-03-14,28.000000000000004
17-03-21,31.9
17-03-28,32.4
17-04-04,34.699999999999996
17-04-11,30.599999999999998
17-04-18,35.0
17-04-25,31.799999999999997
17-05-02,31.299999999999997
17-05-09,25.6
17-05-16,22.599999999999998
17-05-23,32.099999999999994
17-05-30,26.6
17-06-06,23.800000000000004
17-06-13,30.4
17-06-20,1.4000000000000021
17-06-27,-15.100000000000001
17-07-03,-12.399999999999999
17-07-11,5.100000000000001
17-07-18,1.0999999999999943
17-07-25,-3.3000000000000043
17-08-01,-11.899999999999999
17-08-08,-11.400000000000002
17-08-15,-13.099999999999998
17-08-22,-13.600000000000001
17-08-29,-2.3000000000000043
17-09-05,-5.5
17-09-12,0.19999999999999574
17-09-19,-36.5
17-09-26,-42.5
17-10-03,-42.8
17-10-10,-36.3
17-10-17,-41.0
17-10-24,-37.0
17-10-31,-37.9
17-11-07,-34.6
17-11-14,-34.099999999999994
17-11-21,-35.4
17-11-28,-31.999999999999996
17-12-05,-46.8
17-12-12,-50.4
17-12-19,-27.5
17-12-26,-22.5
18-01-02,0.19999999999999574
18-01-09,10.199999999999996
18-01-16,8.800000000000004
18-01-23,3.6000000000000014
18-01-30,3.0
18-02-06,-3.799999999999997
18-02-13,-5.800000000000004
18-02-20,-11.400000000000002
18-02-27,-14.900000000000002
18-03-06,-25.8
18-03-13,-20.999999999999996
18-03-20,-24.599999999999998
18-03-27,-19.299999999999997
18-04-03,-21.900000000000002
18-04-10,-18.799999999999997
18-04-17,-14.800000000000004
18-04-24,-34.6
18-05-01,-41.7
18-05-08,-42.699999999999996
18-05-15,-45.0
18-05-22,-44.900000000000006
18-05-29,-40.800000000000004
18-06-05,-40.10000000000001
18-06-12,-40.7
18-06-19,-9.399999999999999
18-06-26,-10.900000000000006
18-07-03,-12.5
18-07-10,-10.600000000000001
18-07-17,-13.400000000000006
18-07-24,-5.0000000000000036
18-07-31,2.5
18-08-07,8.0
18-08-14,10.5
18-08-21,13.100000000000001
18-08-28,15.2
18-09-04,11.299999999999997
18-09-11,11.100000000000001
18-09-18,9.3
18-09-25,18.0
18-10-02,26.9
18-10-09,18.2
18-10-16,22.9
18-10-23,18.2
18-10-30,23.2
18-11-06,26.7
18-11-13,28.5
18-11-20,30.799999999999997
18-11-27,29.699999999999996
18-12-04,29.6
18-12-11,25.900000000000002
18-12-18,23.299999999999997
18-12-24,29.8
18-12-31,31.7
19-01-08,36.5
19-01-15,40.5
19-01-22,39.199999999999996
19-01-29,36.6
19-02-05,40.2
19-02-12,28.799999999999997
19-02-19,24.900000000000002
19-02-26,25.1
19-03-05,29.000000000000004
19-03-12,23.4
19-03-19,8.599999999999998
19-03-26,10.899999999999999
19-04-02,2.299999999999997
19-04-09,4.299999999999997
19-04-16,6.0
19-04-23,1.5
